ID,Title,Description,ISBN,ISBN13,PageCount,FirstAuthor,SecondAuthor,ThirdAuthor,Rating,NumberofRatings,NumberofReviews,Publisher,PublishDate,Format,Language,FileName
2050,Semper Fidelis - An Autobiography,"General del Valle was born in San Juan, Puerto Rico on August 28, 1893 when Perto Rico was a possession of Spain. His family became American citizens. Through a chain of even, which he details in this book, he became ""the first Hispanic Marine General."" Lt. General del Valle had a long, distinguished and honerable carreer, and this book occationally seems more of a world tour guide than an autobiography. However, he does relate certain anicdotes that help give a break in some of the more serious matters (World War II was pretty serious stuff). His intelligence, courage, and honor are a credit to himself, his family, and his service. They are also an inspiration to any that would seek it. I highly recommend this book for its firsthand reportaing of history in the making, the personal touches the General has put in.",, ,0,P.A. del Valle, , ,5.00,1,1,Christian Book Club of America,1976, ,English,2845-12879322-semper-fidelis---an-autobiography.html
2051,All My Yesterdays: An Autobiography, ,1852304057,9781852304058,0,Cecil Lewis, , ,4.00,1,0,Element Books,,Hardcover,English,2846-1508975.All_My_Yesterdays.html
2052,The History of Neuroscience in Autobiography,"This book is the third volume of autobiographical essays by distinguished senior neuroscientists. As neuroscience is a young discipline, the contributors to this volume are truly pioneers of scientific research on the brain and spinal cord. It is fascinating to hear their stories first-hand and to learn what has inspired and shaped the careers of the best neuroscientists of our time. In this volume, 13 outstanding neuroscientists tell the stories of their scientific work. Within their writings, they discuss major events that shaped their discoveries and their influences, as well as people that inspired them and help shape their careers as neuroscientists. This collection of fascinating essays should inform and inspire students and working scientist alike. The general reader may also find the book absorbing, as they are essentially human stories about commitment and the pursuit of knowledge.",0916110516,9780916110512,2,Larry R. Squire, , ,0.00,0,0,Society for Neuroscience,December 31st 1996,Hardcover,English,2847-15359916-the-history-of-neuroscience-in-autobiography.html
2053,Child of the Hurricane: An Autobiography, ,, ,0,Katharine Susannah Prichard, , ,2.50,2,0,Angus and Robertson,1964,Hardcover,English,2848-19225007-child-of-the-hurricane.html
2054,Autobiography of Jack London,"Jack London has been a best-selling author for more than one hundred years. In his short life (1876–1916) he wrote twenty-five novels and dozens of short stories, plays, and essays. Today he is recognized as a forerunner of such literary giants as Ernest Hemingway, John Steinbeck, and Jack Kerouac. Author of a number of well-known and well-loved stories in our literature (including White Fang, The Call of the Wild, and The Sea Wolf), London also worked as a day laborer, Alaskan gold rusher, and seaman. He was also an adventurer, journalist, celebrity, polemicist, and drunk.An Autobiography of Jack London is a revealing portrait of the man who was Jack London—in his own words—and is largely composed of excerpts from his memoirs: The Road, John Barleycorn, and The Cruise of the Snark. Rather than a mere biographical summary of a man’s life, An Autobiography of Jack London aims to give the reader real insight into the character and personality of this uniquely American literary icon. This book is illustrated throughout with more than forty drawings, facsimile pages from his works, and contemporary photographs, many taken by London himself.",, ,433,Stephan Brennan, , ,3.50,2,2,Skyhorse Publishing,February 1st 2013,Kindle Edition,English,2849-19812331-autobiography-of-jack-london.html
2055,Bright Felon: Autobiography and Cities,"This groundbreaking, transgenre work--part detective story, part literary memoir, part imagined past--is intensely autobiographical and confessional. Proceeding sentence by sentence, city by city, and backwards in time, poet and essayist Kazim Ali details the struggle of coming of age between cultures, overcoming personal and family strictures to talk about private affairs and secrets long held. The text is comprised of sentences that alternate in time, ranging from discursive essay to memoir to prose poetry. Art, history, politics, geography, love, sexuality, writing, and religion, and the role silence plays in each, are its interwoven themes. Bright Felon is literally ""autobiography"" because the text itself becomes a form of writing the life, revealing secrets, and then, amid the shards and fragments of experience, dealing with the aftermath of such revelations. Bright Felon offers a new and active form of autobiography alongside such texts as Theresa Hak Kyung Cha's Dictee, Lyn Hejinian's My Life, and Etel Adnan's In the Heart of the Heart of Another Country. A reader's companion is available at http: //brightfelonreader.site.wesleyan.edu",081956916X,9780819569165,96,Kazim Ali, , ,4.27,77,13,Wesleyan University Press,September 1st 2009,Hardcover,English,285-6668742-bright-felon.html
2056,W.O. The Autobiography of W.O. Bentley, ,, ,0,W.O. Bentley, , ,4.50,2,0, , , , ,2850-3212659-w-o-the-autobiography-of-w-o-bentley.html
2057,Gooch: My Autobiography, ,0002184745,9780002184748,320,Graham Gooch,Frank Keating, ,3.50,2,0,HarperCollinsWillow,May 11th 1995,Hardcover,English,2851-21054252-gooch.html
2058,Reg Gutteridge: My Autobiography, ,1857822080,9781857822083,306,Muhammad Ali,Reg Gutteridge, ,5.00,2,0,Blake Publishing,September 1st 1998,Hardcover,English,2852-9229869-reg-gutteridge.html
2059,Up From Slavery: An Autobiography,The ground-breaking autobiography of Booker T. Washington.,, ,202,Booker T. Washington, , ,4.50,2,0,Chios Classics,July 28th 2015,Kindle Edition,English,2853-26096548-up-from-slavery.html
2060,American Autobiography: The Prophetic Mode, ,0870232630,9780870232633,222,G. Thomas Couser, , ,0.00,0,0,University of Massachusetts Press,April 30th 1979,Hardcover,English,2854-2697896-american-autobiography.html
2061,FLYING WING: AN AUTOBIOGRAPHY,"Noone has played more games or scored more tries for England's Rugby Union Team than Rory Underwood. He stands third in the list of the world's all-time try-scorers and averaged a try a game between 1990 and 1993. His story chronicles the dramatic change in the play and preparation of English teams and the sacrifices players have had to make to reach the same competitive level as New Zealand and Australia. Underwood's story is not, however, just the story of a sportsman - it also looks at his career and family life as well as his opinion of the commercial aspects of the game.",0091750741,9780091750749,192,DAVID HANDS RORY UNDERWOOD, , ,3.00,1,0,HUTCHINSON,October 27th 1992,Hardcover,English,2855-6558919-flying-wing.html
2062,Jeremy Guscott Autobiography, ,0747264732,9780747264736,0,Jeremy Guscott, , ,3.33,3,1, , , , ,2856-143445.Jeremy_Guscott_Autobiography.html
2063,How to Be Seventy: An Autobiography, ,0233974539,9780233974538,248,George Mikes, , ,0.00,0,0,Andrea Deutsch,January 1st 1982,Hardcover,English,2857-5031599-how-to-be-seventy.html
2064,Ray Barrett: An Autobiography, ,0091830745,9780091830748,240,Ray Barrett, , ,4.00,2,0,Random House (Australia),January 1st 1995,Hardcover, ,2858-4001258-ray-barrett.html
2065,Undisputed Trut: My Autobiography,"About the Book: Undisputed Truth: My Autobiography Love him or loathe him, Iron Mike Tyson is an icon and one of the most fascinating sporting figures of our time. In this no-holds-barred autobiography, Tyson lays bare his demons and tells his story: from poverty to stardom to hell and back again In this his first, autobiography, Iron Mike Tyson pulls no punches and lays bare the story of his remarkable life and career. Co-written with Larry Sloman, author of Antony Keidiss best-selling memoir Scar Tissue, this is a visceral, and unputdown-able story of a man born and raised to brutality, who reached the heights of stardom before falling to crime, substance abuse and infamy. Full of all the controversy and complexity that you would expect from a man who delighted as much as he shocked, this is a book that will surprise people and reveal a fascinating character beneath the exterior of violence. If you think you know all about Mike Tyson, read this book and think again About the Author: Mike Tyson Mike Tyson is a former undisputed heavyweight champion of the world and holds the record as the youngest boxer to win the WBC, WBA and IBF heavyweight titles at 20 years, 4 months and 22 days old. Tyson won his first 19 professional bouts by knockout, with 12 of them occurring in the first round. He won the WBC title in 1986 after defeating Trevor Berbick by a TKO in the second round. In 1987, Tyson added the WBA and IBF titles after defeating James Smith and Tony Tucker. He was the first heavyweight boxer to simultaneously hold the WBA, WBC and IBF titles, and the only heavyweight to individually unify them. Larry Sloman is the author of bestselling collaborative books with Bob Dylan, Howard Stern, and the critically acclaimed ScarTissue with Anthony Kiedis.",0007542305, ,432,Mike Tyson, , ,4.50,10,0,Harper Sport,November 28th 2013,Paperback,,2859-25610644-undisputed-trut.html
2066,Autobiography of Madame Guyon,"Madame Guyon was a French noblewoman who was born in an unprincipled time fated to its corruption. She grew up in a church as licentious as the world in which it was established: spiritually despondent and plagued by ignorance. Regardless of these tormenting conditions, she rose to the inimitability of Christian veneration. She had an unsteady and disorganized childhood, was tormented by sickness and abuse, and was imprisoned for years by the highest church authorities. She gave up her worldly goods at the demands of this church which led to her impoverishment. She survived her psychological and physical ruination by conquering pretentious royal conspiracies and reviling the malignancy of the papal inquisition. She committed her life to writing meditative books that illustrated profound truths lost to religious monarchs in a maze of their own confusion. She was finally condemned as a heretic, but her writings were so dynamic they shocked the whole country and even reached the indecorous palace of King Louis XIV. This is the story of a solitary woman whose pious diligence and dedication laid the bedrock of virtous obedience to the deeds of contemporaneous ministry.",1595479260,9781595479266,212,Jeanne Marie Bouvier de la Motte Guyon, , ,4.12,119,15,Nuvision Publications,March 20th 2007,Paperback,English,286-1577133.Autobiography_of_Madame_Guyon.html
2067,Adventures as a Muskoka maid: an autobiography, ,096901550X,9780969015505,171,Ruth Gaunt Bennett, , ,3.00,2,1,R.G. Bennett,1979, , ,2860-4824436-adventures-as-a-muskoka-maid.html
2068,Autobiography of Alfred Percy Sinnett, ,, ,0,Alfred Percy Sinnett, , ,3.00,1,0,Theosophical History Centre,, ,English,2861-17670405-autobiography-of-alfred-percy-sinnett.html
2069,Pepper!: The Autobiography Of An Unconventional Coach, ,0385116675,9780385116671,0,Pepper Rodgers, , ,4.00,1,0, , , , ,2862-4787888-pepper.html
2070,Confessions of an Art Dealer: An Autobiography,By John Howard Swanson. Memoir of a well-known and apparently controversial art dealer in San Francisco.,0964694603,9780964694606,338,John Howard Swanson,Laurel O. Cook, ,0.00,0,0,Vitality Pubns,September 1st 1995,Hardcover,English,2863-142520.Confessions_of_an_Art_Dealer.html
2071,Breaking Glass Barefoot: The Autobiography,"Hazel O’Connor has loved and been loved, but her generosity and spirit of adventure have often come back to bite her. She would not have it any other way. This is a story not just of the music business, its intense joys and spectacular lows: it is the story of a beautiful teenage runaway, a soldier’s daughter who fought her own battles and those of people she cared for. Born in Coventry to English-Irish parents, Hazel’s early years were a mixture of adventure and tragedy, which included performing in a dance troupe in Japan and Beirut (escaping after the first bombs fell during the war), as well as travels through Africa: A time of mixed blessings for the young Hazel who experienced both rape and abortion. By the mid seventies Hazel was back in England trying to find her way in an ever-changing musical environment, and before long was hanging out with the likes of Mick Jones of The Clash, and Glen Matlock from the Sex Pistols. As one decade segued into another Hazel was suddenly plucked from obscurity to not only star in the 1980 film ‘Breaking Glass’ but to also compose all the songs, including the hits “Eighth Day” and “Will You.” Achieving instant success prompted Hazel to say, ‘I was twenty-one and I felt like my whole life was behind me.’ But nothing could be further from the truth: Hazel’s career has been a roller coaster ride ever since that has included fascinating friendships, and relationships with The Stranglers’ Hugh Cornwell, and Ultravox’s Midge Ure. Her career as both a musician and actress through the past thirty years has also involved encounters with David Bowie, Tony Visconti, Duran Duran, Jesse Birdsall and Neil Morrissey amongst others. Hazel was even driven around Ireland during her early career by a young Louis Walsh; played Boggle with Bob Geldof and taught Elton John to balance a spoon on the end of his nose! The press even described her as George Michael’s girlfriend! After a failed marriage where she lived in Los Angeles, Hazel now divides her time between Ireland and France whilst still delighting audiences and touring extensively throughout Europe. Breaking Glass Barefoot, her first, full autobiography captures all the ups and downs of a life of adventure and trauma, sadness and celebrity; which speak to anyone who has ever followed their heart.",, ,244,Hazel O'Connor, , ,3.50,2,0,Wymer Publishing,October 8th 2012,Hardcover,English,2864-18524383-breaking-glass-barefoot.html
2072,Semper Fidelis - An Autobiography,"General del Valle was born in San Juan, Puerto Rico on August 28, 1893 when Perto Rico was a possession of Spain. His family became American citizens. Through a chain of even, which he details in this book, he became ""the first Hispanic Marine General."" Lt. General del Valle had a long, distinguished and honerable carreer, and this book occationally seems more of a world tour guide than an autobiography. However, he does relate certain anicdotes that help give a break in some of the more serious matters (World War II was pretty serious stuff). His intelligence, courage, and honor are a credit to himself, his family, and his service. They are also an inspiration to any that would seek it. I highly recommend this book for its firsthand reportaing of history in the making, the personal touches the General has put in.",, ,0,P.A. del Valle, , ,5.00,1,1,Christian Book Club of America,1976, ,English,2865-12879322-semper-fidelis---an-autobiography.html
2073,All My Yesterdays: An Autobiography, ,1852304057,9781852304058,0,Cecil Lewis, , ,4.00,1,0,Element Books,,Hardcover,English,2866-1508975.All_My_Yesterdays.html
2074,The History of Neuroscience in Autobiography,"This book is the third volume of autobiographical essays by distinguished senior neuroscientists. As neuroscience is a young discipline, the contributors to this volume are truly pioneers of scientific research on the brain and spinal cord. It is fascinating to hear their stories first-hand and to learn what has inspired and shaped the careers of the best neuroscientists of our time. In this volume, 13 outstanding neuroscientists tell the stories of their scientific work. Within their writings, they discuss major events that shaped their discoveries and their influences, as well as people that inspired them and help shape their careers as neuroscientists. This collection of fascinating essays should inform and inspire students and working scientist alike. The general reader may also find the book absorbing, as they are essentially human stories about commitment and the pursuit of knowledge.",0916110516,9780916110512,2,Larry R. Squire, , ,0.00,0,0,Society for Neuroscience,December 31st 1996,Hardcover,English,2867-15359916-the-history-of-neuroscience-in-autobiography.html
2075,Child of the Hurricane: An Autobiography, ,, ,0,Katharine Susannah Prichard, , ,2.50,2,0,Angus and Robertson,1964,Hardcover,English,2868-19225007-child-of-the-hurricane.html
2076,Autobiography of Jack London,"Jack London has been a best-selling author for more than one hundred years. In his short life (1876–1916) he wrote twenty-five novels and dozens of short stories, plays, and essays. Today he is recognized as a forerunner of such literary giants as Ernest Hemingway, John Steinbeck, and Jack Kerouac. Author of a number of well-known and well-loved stories in our literature (including White Fang, The Call of the Wild, and The Sea Wolf), London also worked as a day laborer, Alaskan gold rusher, and seaman. He was also an adventurer, journalist, celebrity, polemicist, and drunk.An Autobiography of Jack London is a revealing portrait of the man who was Jack London—in his own words—and is largely composed of excerpts from his memoirs: The Road, John Barleycorn, and The Cruise of the Snark. Rather than a mere biographical summary of a man’s life, An Autobiography of Jack London aims to give the reader real insight into the character and personality of this uniquely American literary icon. This book is illustrated throughout with more than forty drawings, facsimile pages from his works, and contemporary photographs, many taken by London himself.",, ,433,Stephan Brennan, , ,3.50,2,2,Skyhorse Publishing,February 1st 2013,Kindle Edition,English,2869-19812331-autobiography-of-jack-london.html
2077,Me and Rumi: The Autobiography of Shams-i Tabrizi,The astounding autobiography of the man who transformed Rumi from a learned religious teacher into the world's greatest poet of mystical love.,1887752528,9781887752527,530,Shams-i Tabrizi,William C. Chittick,Annemarie Schimmel,4.32,110,7,Fons Vitae,September 1st 2004,Paperback,English,287-67386.Me_and_Rumi.html
2078,W.O. The Autobiography of W.O. Bentley, ,, ,0,W.O. Bentley, , ,4.50,2,0, , , , ,2870-3212659-w-o-the-autobiography-of-w-o-bentley.html
2079,Gooch: My Autobiography, ,0002184745,9780002184748,320,Graham Gooch,Frank Keating, ,3.50,2,0,HarperCollinsWillow,May 11th 1995,Hardcover,English,2871-21054252-gooch.html
2080,Reg Gutteridge: My Autobiography, ,1857822080,9781857822083,306,Muhammad Ali,Reg Gutteridge, ,5.00,2,0,Blake Publishing,September 1st 1998,Hardcover,English,2872-9229869-reg-gutteridge.html
2081,Up From Slavery: An Autobiography,The ground-breaking autobiography of Booker T. Washington.,, ,202,Booker T. Washington, , ,4.50,2,0,Chios Classics,July 28th 2015,Kindle Edition,English,2873-26096548-up-from-slavery.html
2082,American Autobiography: The Prophetic Mode, ,0870232630,9780870232633,222,G. Thomas Couser, , ,0.00,0,0,University of Massachusetts Press,April 30th 1979,Hardcover,English,2874-2697896-american-autobiography.html
2083,FLYING WING: AN AUTOBIOGRAPHY,"Noone has played more games or scored more tries for England's Rugby Union Team than Rory Underwood. He stands third in the list of the world's all-time try-scorers and averaged a try a game between 1990 and 1993. His story chronicles the dramatic change in the play and preparation of English teams and the sacrifices players have had to make to reach the same competitive level as New Zealand and Australia. Underwood's story is not, however, just the story of a sportsman - it also looks at his career and family life as well as his opinion of the commercial aspects of the game.",0091750741,9780091750749,192,DAVID HANDS RORY UNDERWOOD, , ,3.00,1,0,HUTCHINSON,October 27th 1992,Hardcover,English,2875-6558919-flying-wing.html
2084,Jeremy Guscott Autobiography, ,0747264732,9780747264736,0,Jeremy Guscott, , ,3.33,3,1, , , , ,2876-143445.Jeremy_Guscott_Autobiography.html
2085,How to Be Seventy: An Autobiography, ,0233974539,9780233974538,248,George Mikes, , ,0.00,0,0,Andrea Deutsch,January 1st 1982,Hardcover,English,2877-5031599-how-to-be-seventy.html
2086,Ray Barrett: An Autobiography, ,0091830745,9780091830748,240,Ray Barrett, , ,4.00,2,0,Random House (Australia),January 1st 1995,Hardcover, ,2878-4001258-ray-barrett.html
2087,Undisputed Trut: My Autobiography,"About the Book: Undisputed Truth: My Autobiography Love him or loathe him, Iron Mike Tyson is an icon and one of the most fascinating sporting figures of our time. In this no-holds-barred autobiography, Tyson lays bare his demons and tells his story: from poverty to stardom to hell and back again In this his first, autobiography, Iron Mike Tyson pulls no punches and lays bare the story of his remarkable life and career. Co-written with Larry Sloman, author of Antony Keidiss best-selling memoir Scar Tissue, this is a visceral, and unputdown-able story of a man born and raised to brutality, who reached the heights of stardom before falling to crime, substance abuse and infamy. Full of all the controversy and complexity that you would expect from a man who delighted as much as he shocked, this is a book that will surprise people and reveal a fascinating character beneath the exterior of violence. If you think you know all about Mike Tyson, read this book and think again About the Author: Mike Tyson Mike Tyson is a former undisputed heavyweight champion of the world and holds the record as the youngest boxer to win the WBC, WBA and IBF heavyweight titles at 20 years, 4 months and 22 days old. Tyson won his first 19 professional bouts by knockout, with 12 of them occurring in the first round. He won the WBC title in 1986 after defeating Trevor Berbick by a TKO in the second round. In 1987, Tyson added the WBA and IBF titles after defeating James Smith and Tony Tucker. He was the first heavyweight boxer to simultaneously hold the WBA, WBC and IBF titles, and the only heavyweight to individually unify them. Larry Sloman is the author of bestselling collaborative books with Bob Dylan, Howard Stern, and the critically acclaimed ScarTissue with Anthony Kiedis.",0007542305, ,432,Mike Tyson, , ,4.50,10,0,Harper Sport,November 28th 2013,Paperback,,2879-25610644-undisputed-trut.html
2088,From Strength To Strength: An Autobiography,"Sara Henderson's bestselling autobiography has touched the hearts of thousands of people all over Australia. As tough, spirited, warm and funny as the woman herself, From Strength to Strength is the inspirational story of one woman's extraordinary courage and determination. In 1959 Sara met American war hero and shipping magnate Charles Henderson III, and so began what she calls the world's most demanding, humiliating and challenging obstacle course any human could be expected to endure. Three years after their marriage, Charles presented Sara with her new home - a tin shack in a million acres of red dust. Bullo River. After twenty years of back-breaking work on this remote Northern Australian cattle station, Charlie's death revealed that Sara had not only been left with a floundering property, but also with a heart-breaking mountain of debt. With very little to lose, Sara and her daughters Maree and Danielle, took up the challenge of rebuilding Bullo River... with such tremendous results that in 1991 Sara was named the Bulletin/Qantas Businesswoman of the Year.",0725107251,9780725107253,337,Sara Henderson, , ,3.84,183,22,Sun Australi,1999,Paperback,English,288-1473435.From_Strength_To_Strength.html
2089,Adventures as a Muskoka maid: an autobiography, ,096901550X,9780969015505,171,Ruth Gaunt Bennett, , ,3.00,2,1,R.G. Bennett,1979, , ,2880-4824436-adventures-as-a-muskoka-maid.html
2090,Time to Declare: An Autobiography,"Cricket autobiography of Basil D'Oliveira, the Cape Coloured who managed to flee the brutalities of apartheid and establish himself as a first-class cricketer, later Test cricketer, in England. With a foreword by John Arlott, the man who did so much to help him get to the UK. 8vo. 180pp. 16 pages of photographs. Dust-wrapper, very good.",0460045113,9780460045117,0,Basil D'Oliveira, , ,4.00,1,0,J.M. Dent & Sons,,Hardcover,English,2881-1048124.Time_to_Declare.html
2091,"Experiment in Autobiography, Vol 2","H. G. Wells's An Experiment in Autobiography, subtitled, with typically Wellsian self-effacement, 'Discoveries and Conclusions of a Very Ordinary Brain (Since 1866)', first appeared in 1934, when Wells was sixty-eight years old, and is presented in Faber Finds in two volumes (also in the Faber Finds imprint is H. G. Wells in Love, which Wells drafted as 'Postscript to an Experiment in Autobiography' and can be read as an accompaniment to these volumes). In these volumes, Wells relates his early life, student days, struggles to make a living, ascent to literary supremacy, and later career as prophet of socialism. We follow him from the beginnings of his thoughts to his crowning conclusion 'This particular brain ... has arrived at the establishment of the Socialist World-State as its directive purpose and has made that its religion and end.' On reading this remarkable account, President Roosevelt wrote to Wells to say: 'An Experiment in Autobiography was for me an experiment in staying awake instead of putting the light out. How do you manage to retain such vivid pictures of events and such extraordinarily clear impressions and judgements?' These are indeed the conclusions of an extraordinary brain and a remarkable individual.",057113369X,9780571133697,0,H.G. Wells, , ,0.00,0,0,Faber and Faber Incorporated (London),September 24th 1984, ,English,2882-632053.Experiment_in_Autobiography_Vol_2.html
2092,My Times : An Autobiography,"My Times is a brilliant literary work that will arouse the enthusiasm of scholars of the Indian national struggle, as well as all those who want to glimpse into the world of the freedom-fighters and leaders of the pre-independence era. Kripalani sheds light on the relationship he shared with legendary figures such as Jawaharlal Nehru, Subhas Chandra Bose, Maulana Azad, Sardar Patel and of course, Mahatma Gandhi. Written in lucid language, My Times evokes Kripalani's famous speeches which were observed to be, by the great poetess Sarojini Naidu, “an enduring memorial of a soul that has passed from turmoil to an inner sense of realization.”",817167917X,9788171679171,1010,J.B.Kripalani, , ,0.00,0,0,Rupa Publication,2004, ,English,2883-21947247-my-times.html
2093,Within the Family Circle: An Autobiography, ,0434599557,9780434599554,243,Violet Powell, , ,4.00,1,0,Heinemann Educational Books,,Hardcover,English,2884-8769109-within-the-family-circle.html
2094,Autobiography of Allen Jay, ,, ,420,Allen Jay, , ,3.50,2,0,John C. Winston Co.,1910,Hardcover,English,2885-3770082-autobiography-of-allen-jay.html
2095,People: The Autobiography of a Mystery Writer, ,, ,0,Edgar Wallace, , ,3.00,1,1,Doubleday & Co,1939, ,English,2886-17567669-people.html
2096,Bill Bruford: The Autobiography,"Once called the “godfather of progressive drumming,” Bill Bruford has been at the top of his profession for four decades, playing with Yes, King Crimson, Genesis, Earthworks, and many other bands. Bill Bruford is a first-person account of his life in progressive rock, art rock, and modern jazz. Honest, entertaining, and eloquent, it recounts his life on the road and in the studio, rubbing shoulders and creating music with the famous, the less famous, and the infamous. A rocker with the temperament of a classical musician, who became a jazz musician, he defies all the clichés and bad jokes about drummers. At polite dinner parties, Bruford is occasionally asked what he does. After replying that he’s a musician, the inevitable retort is “Yes, but what do you really do?” This funny, unusual, and unusually thoughtful memoir answers the question.",, ,353,Bill Bruford, , ,4.50,2,0,Jawbone Press,March 1st 2009,Kindle Edition,English,2887-22384039-bill-bruford.html
2097,Holding The Line: An Autobiography, ,0717125912,9780717125913,290,John  Hermon, , ,0.00,0,0,Gill & Macmillan Ltd,February 28th 1997,Hardcover,English,2888-4619278-holding-the-line.html
2098,Still Waiting for the Dawn: An Autobiography, ,043627258X,9780436272585,155,Atallah Mansour, , ,4.00,1,1,Secker & Warburg,,Hardcover,English,2889-4496561-still-waiting-for-the-dawn.html
2099,A Life of Contrasts: An Autobiography,"At the outbreak of WWII, Diana Mosley, the Mitford sister who grew up with the Churchills, was imprisoned after her husband, the British Fascist Leader, Sir Oswald Mosley, was arrested under the orders of Winston Churchill. In this work, she tells in her own words what motivated her life & under what exceptional circumstances it took place, having known the two most powerful politicians of 20th-century Europe & living with one of the most controversial British politicians in recent history. 1 Grandfathers & Grandmother (1) 2 ""...She Can't Live Long"" (6) 3 Batsford (12) 4 Asthall (22) 5 Paris (44) 6 Swinbrook (55) 7 Bailiffscourt (61) 8 Buckingham Street (70) 9 Cheyne Walk (86) 10 Mosley (94) 11 Munich & Rome (106) 12 Hitler (116) 13 Accident (129) 14 Wooton (136) 15 Berlin (147) 16 War (157) 17 Prison (169) 18 Crux Easton (199) 19 Crowood (210) 20 ALIANORA (218) 21 Le Temple de la Gloire (230) 22 Clonfert (235) 23 Venice & Paris (244) 24 Inch Kenneth & London (254) 25 The Windsors (264) 26 The Antagonists (268) 27 A Vale of Tears (273) 28 Laughter & the Love of Friends (282) Index (289)",0812907582,9780812907582,304,Diana Mitford Mosley, , ,3.43,145,30,Times Books (NYC),March 1st 1977,Hardcover,English,289-372815.A_Life_of_Contrasts.html
2100,My several lives: An autobiography, ,096616962X,9780966169621,268,Paul W Hodson, , ,4.00,1,1,Keeban Publications,November 1st 2000,Unknown Binding, ,2890-5382867-my-several-lives.html
2101,Hitting Back: The Autobiography,"' With Andy, the sky's the limit... ' - John McEnroe. At Wimbledon in 2005, a young, brash Andy Murray came out of nowhere and thrashed star pros Georges Bastl and Radek Stepanek. He took a two-set lead against former finalist David Nalbandian before his dramatic winning run came to a end on the Centre Court. But a legend was born, and Britain had a new sporting hero. Henman Hill was renamed Murray Mound, and Henmania became Andymonium. In 2006, Murray went stellar. Aged just 18 he won his first ATP title at San Jose, California, beating former world no. 1s Andy Roddick and Lleyton Hewitt on the way. In the same month, he deposed Tim Henman to become the British No. 1. By the end of a wonderful year in which he was one of only two players to beat Roger Federer, Murray was no. 17 in the world. But Murray is much more than a truly gifted tennis player and potential grand slam champion. He has changed the face of the British game, blowing away the cobwebs of the All England Club, and dividing opinion with his brash, straight-talking style, anti-establishment rhetoric and on-court anger and passion. A whole new generation of kids are becoming tennis fans. Andy has made tennis cool again, like the days of McEnroe, Borg and Nastase. Here, for the first time, Andy Murray talks in his own words about the long, testing, and often difficult path to superstardom. The boy from Dunblane opens up about dealing with the constant limelight and attention from a media and a general public desperate for a genuine British tennis star, and gives the exclusive lowdown on Wimbledon 2008 as he prepares to launch his bid for grass-court glory. Temperamental, gifted, passionate, fiery: Murray is the dazzling new face of British tennis, and a role model to a whole generation. Andy's story will enthral and excite the entire country.",, ,330,Andy Murray, , ,3.67,3,0,Cornerstone Digital,May 4th 2009,Kindle Edition,English,2891-20341654-hitting-back.html
2102,Lucifer: Autobiography of a Prince ... and Stuff,"Lucifer tells of himself as has not been told before. He tells how he came to be that which he is; the how and why, while attempting to set the record straight in regard to what he does... and cannot do. Emphatically he states that he gets blamed - ""The Devil made me do it!"" - when in fact, he was nowhere near. He presents his tale in a comical and somewhat rebellious fashion, using some four-letter words...""As they fit,"" he states. ""And besides, I learned them from you."" His story is not a satanical, evil, religion, mystery or a whodunit. It is of a being that has been made out to be what he is not, so he feels, and blamed for humanity's shortcomings to the point where he has had enough and wants to make sure we get the true picture. He includes Michael, the Archangel, teaching him and Jesus how to line-dance. Beyond telling of himself, he goes into telling of his son's quest to live among humans; the trials and tribulations of a young boy, half-Satan and half-mortal, to exist on the face of the Earth. In the end, the son causes the death of a human and is dealt with by god...his grandfather. Later, Lucifer will again take pen in hand and continue to tell of his only begotten - Uriah.",1412098394,9781412098397,372,Lucifer, , ,0.00,0,0,Trafford Publishing,October 26th 2006,Paperback,English,2892-8231116-lucifer.html
2103,Return To Go: My Autobiography, ,0297774182,9780297774181,278,Jim Slater, , ,3.00,1,0,Littlehampton Book Services Ltd,October 13th 1977,Hardcover,English,2893-3773530-return-to-go.html
